Invoice_ID,Date,Customer_ID,Product_ID,Quantity,Unit_Price,Cost_Price,Payment_Mode,Employee_ID,Total_Amount
INV10090,06-04-2025,C1818,P1472,2,2136.17,1836.86,Cash,E135,4272.34
INV10091,20-08-2024,C1111,P1475,7,193.34,155.58,Cash,E154,1353.38
INV10092,04-06-2025,C1117,P1884,8,809.32,671.59,UPI,E185,6474.56
INV10093,24-08-2024,C1682,P1991,3,1393.46,1159.9,Cash,E127,4180.38
INV10094,27-06-2025,C1279,P1940,6,2620.97,2011.75,Card,E146,15725.82
INV10095,21-06-2025,C1764,P1956,10,1263.91,954.1,Cash,E132,12639.1
INV10096,10-09-2024,C1031,P1903,5,839.75,753.92,Card,E128,4198.75
INV10097,19-02-2025,C1923,P1231,10,3083.3,2691.39,UPI,E199,30833
INV10098,27-10-2024,C1016,P1642,1,3640.1,2755.7,Cash,E143,3640.1
INV10099,14-08-2024,C1714,P1467,5,1662.3,1468.31,UPI,E125,8311.5
INV10100,10-10-2024,C1930,P1445,2,3041.31,2714.45,Card,E129,6082.62
INV10101,20-06-2025,C1704,P1084,6,4739.23,3680.1,Cash,E147,28435.38
INV10102,05-01-2025,C1108,P1920,7,3465.71,2869.68,Card,E100,24259.97
INV10103,30-11-2024,C1586,P1046,7,4764.65,4207.85,Card,E142,33352.55
INV10104,12-04-2025,C1602,P1766,5,1173.38,1012.99,Card,E188,5866.9
INV10105,07-11-2024,C1772,P1617,5,2756.73,1989.13,Card,E178,13783.65
INV10106,05-04-2025,C1628,P1463,7,2805.28,2272.01,Cash,E109,19636.96
INV10107,07-07-2025,C1627,P1979,6,2568.52,2146.52,Card,E160,15411.12
INV10108,07-12-2024,C1734,P1350,2,2240.19,1725.01,UPI,E103,4480.38
INV10109,07-10-2024,C1543,P1745,3,1216.87,902.53,UPI,E106,3650.61
INV10110,07-06-2025,C1772,P1880,9,2857.62,2160.87,Card,E128,25718.58
INV10111,14-04-2025,C1868,P1790,7,2186.27,1532.1,Card,E137,15303.89
INV10112,21-09-2024,C1636,P1450,2,1456.92,1163.79,Card,E100,2913.84
INV10113,28-12-2024,C1156,P1124,10,1366.5,1030.76,Cash,E193,13665
INV10114,22-08-2024,C1862,P1748,7,2233,1812.56,Card,E160,15631
INV10115,06-12-2024,C1101,P1917,3,1843.71,1372.78,UPI,E152,5531.13
INV10116,04-09-2024,C1675,P1027,4,749.63,536.44,UPI,E163,2998.52
INV10117,02-01-2025,C1316,P1957,1,1794.58,1594.55,Card,E171,1794.58
INV10118,13-01-2025,C1300,P1221,5,510.43,445.02,UPI,E117,2552.15
INV10119,10-06-2025,C1526,P1129,8,1062.87,925.01,Cash,E138,8502.96
INV10120,28-11-2024,C1446,P1546,9,278.4,249.75,Card,E142,2505.6
INV10121,02-02-2025,C1215,P1325,1,4867.92,4146.72,Card,E135,4867.92
INV10122,15-07-2025,C1514,P1513,5,2266.81,1989.29,Card,E173,11334.05
INV10123,30-08-2024,C1306,P1999,3,383.7,297.76,Card,E133,1151.1
INV10124,25-07-2024,C1269,P1256,3,2180.44,1688.86,Card,E142,6541.32
INV10125,08-07-2025,C1396,P1211,8,3956.93,3345.87,UPI,E186,31655.44
INV10126,04-04-2025,C1852,P1509,3,3345.32,2444.15,Card,E163,10035.96
INV10127,12-08-2024,C1040,P1644,10,1028.05,752.12,Cash,E111,10280.5
INV10128,17-09-2024,C1994,P1990,1,4395.51,3354,UPI,E140,4395.51
INV10129,27-12-2024,C1763,P1192,1,3327.31,2784.28,Card,E139,3327.31
INV10130,15-05-2025,C1814,P1311,10,1756.98,1491.11,UPI,E113,17569.8
INV10131,09-07-2025,C1718,P1153,3,1925.9,1661.87,Cash,E141,5777.7
INV10132,11-03-2025,C1352,P1622,10,4824.35,3450.4,Card,E130,48243.5
INV10133,24-04-2025,C1531,P1922,4,470.91,378.82,UPI,E155,1883.64
INV10134,11-10-2024,C1085,P1219,6,3223.57,2408.04,Cash,E104,19341.42
INV10135,08-10-2024,C1668,P1549,1,1524.58,1118.92,Cash,E156,1524.58
INV10136,17-08-2024,C1913,P1990,5,4395.51,3354,UPI,E195,21977.55
INV10137,23-06-2025,C1631,P1771,7,109,82.82,Card,E126,763
INV10138,08-04-2025,C1644,P1487,1,3409.39,2851.46,Cash,E121,3409.39
INV10139,07-07-2025,C1509,P1045,9,1275.08,1070.15,UPI,E149,11475.72
INV10140,22-09-2024,C1929,P1811,2,3043.52,2332.96,Card,E184,6087.04
INV10141,14-01-2025,C1294,P1408,1,2877.39,2168.77,Cash,E155,2877.39
INV10142,01-07-2025,C1341,P1526,10,3124.39,2289.1,UPI,E153,31243.9
INV10143,06-02-2025,C1498,P1976,4,4496.96,3206.07,UPI,E176,17987.84
INV10144,31-07-2024,C1523,P1547,2,4739.59,3651.25,Card,E186,9479.18
INV10145,26-11-2024,C1815,P1919,7,4340.02,3262.92,UPI,E181,30380.14
INV10146,19-04-2025,C1183,P1198,4,2398.87,1989.34,UPI,E199,9595.48
INV10147,30-05-2025,C1970,P1894,2,3561.19,2708.57,UPI,E162,7122.38
INV10148,18-03-2025,C1429,P1159,7,4284.54,3544.41,Cash,E186,29991.78
INV10149,13-11-2024,C1261,P1089,1,4038.93,3412.91,Card,E199,4038.93
INV10150,03-04-2025,C1033,P1103,2,336.9,236.65,Cash,E133,673.8
INV10151,19-11-2024,C1633,P1539,8,4093.18,3525.49,UPI,E132,32745.44
INV10152,24-05-2025,C1445,P1952,2,1623.58,1325.95,Card,E139,3247.16
INV10153,19-09-2024,C1807,P1604,8,4519.11,3954.57,Cash,E106,36152.88
INV10154,13-01-2025,C1836,P1676,9,221.29,168.06,Cash,E132,1991.61
INV10155,11-08-2024,C1129,P1909,7,4682.07,3430.8,UPI,E105,32774.49
INV10156,08-08-2024,C1010,P1454,9,1001.34,743.48,Card,E172,9012.06
INV10157,10-11-2024,C1002,P1073,7,4690.17,3693.11,Card,E193,32831.19
INV10158,21-09-2024,C1099,P1176,3,2163.84,1702.85,UPI,E132,6491.52
INV10159,14-05-2025,C1713,P1181,2,2493.43,1891.33,Cash,E125,4986.86
INV10160,31-07-2024,C1799,P1071,10,1910.79,1442.8,UPI,E189,19107.9
INV10161,21-03-2025,C1386,P1809,10,2596.01,2271.06,UPI,E167,25960.1
INV10162,21-11-2024,C1023,P1979,7,2568.52,2146.52,UPI,E128,17979.64
INV10163,31-07-2024,C1018,P1129,1,1062.87,925.01,UPI,E185,1062.87
INV10164,15-06-2025,C1425,P1447,10,2946.09,2147.61,Cash,E197,29460.9
INV10165,17-09-2024,C1054,P1335,7,3468.41,2613.05,UPI,E194,24278.87
INV10166,27-10-2024,C1424,P1405,3,4794.7,3629.94,Cash,E124,14384.1
INV10167,01-09-2024,C1093,P1858,8,1646.79,1427.09,UPI,E178,13174.32
INV10168,20-10-2024,C1557,P1952,5,1623.58,1325.95,Cash,E142,8117.9
INV10169,29-10-2024,C1519,P1476,5,4551.49,4038.05,Card,E176,22757.45
INV10170,22-05-2025,C1253,P1462,5,1166.1,917.92,UPI,E185,5830.5
INV10171,02-04-2025,C1263,P1358,3,424.22,363.97,UPI,E191,1272.66
INV10172,17-07-2025,C1647,P1256,6,2180.44,1688.86,UPI,E134,13082.64
INV10173,16-06-2025,C1742,P1789,9,3165.84,2459.67,UPI,E135,28492.56
INV10174,01-03-2025,C1224,P1470,4,1656.98,1469.53,UPI,E198,6627.92
INV10175,30-01-2025,C1677,P1224,2,116.69,101.43,Cash,E102,233.38
INV10176,31-01-2025,C1282,P1485,6,2871.15,2577.66,Cash,E121,17226.9
INV10177,04-10-2024,C1166,P1071,1,1910.79,1442.8,UPI,E183,1910.79
INV10178,15-07-2025,C1224,P1140,5,3024.83,2434.14,Card,E149,15124.15
INV10179,21-08-2024,C1217,P1055,5,2261,1898.57,Card,E181,11305
INV10180,10-09-2024,C1042,P1742,1,674.73,517.2,Cash,E198,674.73
INV10181,09-11-2024,C1736,P1319,7,233.31,180.79,Card,E163,1633.17
INV10182,06-07-2025,C1973,P1387,7,3598.84,2846.09,Card,E146,25191.88
INV10183,02-08-2024,C1632,P1879,5,981.73,817.52,Card,E125,4908.65
INV10184,28-03-2025,C1819,P1425,8,4816.08,3470.47,UPI,E133,38528.64
INV10185,14-06-2025,C1156,P1760,6,1838.44,1338.68,Cash,E174,11030.64
INV10186,21-10-2024,C1399,P1138,2,2086.4,1641.29,Card,E107,4172.8
INV10187,21-09-2024,C1077,P1930,8,4228.69,3360.36,Cash,E199,33829.52
INV10188,16-05-2025,C1464,P1067,1,588.51,504.39,Card,E139,588.51
INV10189,11-04-2025,C1345,P1852,10,3071.62,2442.87,Card,E100,30716.2
INV10190,27-09-2024,C1803,P1635,7,1124.29,1008.14,Card,E155,7870.03
INV10191,24-10-2024,C1772,P1654,10,4832.34,4071.9,UPI,E146,48323.4
INV10192,08-03-2025,C1497,P1698,4,2020.98,1642.12,UPI,E197,8083.92
INV10193,18-03-2025,C1442,P1470,5,1656.98,1469.53,Cash,E150,8284.9
INV10194,16-01-2025,C1082,P1902,3,4454.51,3320.05,UPI,E193,13363.53
INV10195,15-07-2025,C1345,P1317,10,1542.01,1316.42,Card,E146,15420.1
INV10196,01-09-2024,C1722,P1366,2,1132.67,874.27,Card,E148,2265.34
INV10197,23-07-2024,C1053,P1276,10,460.04,378.75,Cash,E155,4600.4
INV10198,20-07-2025,C1115,P1708,8,2990.54,2219.02,Card,E129,23924.32
INV10199,03-06-2025,C1177,P1061,3,2488.45,2024.85,Cash,E187,7465.35
INV10200,05-10-2024,C1634,P1146,6,1202.99,864.38,Card,E112,7217.94
INV10201,27-02-2025,C1517,P1703,3,3895.01,3269.17,Card,E156,11685.03
INV10202,10-12-2024,C1645,P1302,10,2589.13,2239,Cash,E161,25891.3
INV10203,01-04-2025,C1038,P1985,4,1276.68,1021.61,UPI,E164,5106.72
INV10204,26-03-2025,C1255,P1579,3,953.31,825.33,Cash,E197,2859.93
INV10205,26-09-2024,C1280,P1538,1,4448.5,3863.94,Cash,E171,4448.5
INV10206,03-11-2024,C1380,P1188,4,4788.68,3576.12,Cash,E136,19154.72
INV10207,03-06-2025,C1955,P1202,3,3265.92,2566.52,Cash,E139,9797.76
INV10208,27-08-2024,C1068,P1428,3,3172.5,2704.54,UPI,E191,9517.5
INV10209,22-08-2024,C1428,P1253,3,4445.66,3178.49,Cash,E134,13336.98
INV10210,15-11-2024,C1922,P1586,3,3645.86,3183.3,UPI,E124,10937.58
INV10211,20-10-2024,C1426,P1690,7,1909.64,1566.72,UPI,E127,13367.48
INV10212,15-12-2024,C1868,P1550,3,3901.78,3042.85,UPI,E162,11705.34
INV10213,07-06-2025,C1065,P1388,4,2171.94,1859.14,Cash,E163,8687.76
INV10214,31-05-2025,C1074,P1375,3,388.1,326.27,Cash,E187,1164.3
INV10215,14-11-2024,C1921,P1036,10,102.89,90.77,UPI,E124,1028.9
INV10216,18-02-2025,C1717,P1749,9,760.01,573.68,Card,E118,6840.09
INV10217,12-09-2024,C1989,P1637,10,1807.86,1376.89,Card,E108,18078.6
INV10218,15-07-2025,C1080,P1827,9,3598.46,2542.76,Card,E145,32386.14
INV10219,16-11-2024,C1183,P1331,10,1129.73,815.39,Card,E184,11297.3
INV10220,14-09-2024,C1443,P1409,10,3585.84,2669.6,UPI,E171,35858.4
INV10221,14-11-2024,C1573,P1455,3,504.06,396.11,UPI,E128,1512.18
INV10222,08-06-2025,C1603,P1170,7,2770.48,2467.35,UPI,E115,19393.36
INV10223,20-07-2025,C1438,P1612,4,4062.04,3448.71,Card,E147,16248.16
INV10224,14-02-2025,C1691,P1855,7,242.51,177,Card,E171,1697.57
INV10225,06-09-2024,C1685,P1155,3,355.12,290.4,Cash,E172,1065.36
INV10226,15-11-2024,C1784,P1295,6,4115.06,3236.78,UPI,E106,24690.36
INV10227,10-02-2025,C1474,P1423,8,3658.12,2894.54,UPI,E120,29264.96
INV10228,30-08-2024,C1382,P1427,3,4304.18,3263.94,Card,E145,12912.54
INV10229,17-05-2025,C1205,P1685,8,1284.79,971.52,UPI,E169,10278.32
INV10230,14-05-2025,C1288,P1326,4,4707.36,4210.36,Cash,E176,18829.44
INV10231,11-10-2024,C1623,P1904,5,4209.6,3052.11,Cash,E128,21048
INV10232,08-01-2025,C1852,P1871,2,1669.56,1326.87,UPI,E185,3339.12
INV10233,24-12-2024,C1232,P1821,9,4395.63,3321.26,Cash,E154,39560.67
INV10234,27-03-2025,C1687,P1482,8,2214.06,1711.78,UPI,E138,17712.48
INV10235,10-05-2025,C1063,P1632,4,267.89,195.93,UPI,E148,1071.56
INV10236,28-08-2024,C1715,P1985,5,1276.68,1021.61,UPI,E106,6383.4
INV10237,02-08-2024,C1306,P1929,4,3416.15,2672.78,Card,E179,13664.6
INV10238,02-06-2025,C1012,P1343,8,3347.08,2625.86,Card,E197,26776.64
INV10239,22-12-2024,C1429,P1458,2,3314.34,2829.59,Cash,E131,6628.68
INV10240,23-01-2025,C1517,P1806,7,3622.02,3059.33,Cash,E106,25354.14
INV10241,28-03-2025,C1955,P1431,9,259.89,185.95,Card,E102,2339.01
INV10242,24-07-2024,C1949,P1989,6,455.14,367.16,UPI,E162,2730.84
INV10243,27-06-2025,C1878,P1396,1,4176.87,3417.43,UPI,E154,4176.87
INV10244,13-11-2024,C1608,P1176,7,2163.84,1702.85,Card,E185,15146.88
INV10245,17-04-2025,C1985,P1000,9,2790.7,2466.91,Cash,E130,25116.3
INV10246,20-01-2025,C1573,P1947,1,4247.36,3522.96,UPI,E180,4247.36
INV10247,20-01-2025,C1904,P1652,6,3275.45,2612.39,Cash,E125,19652.7
INV10248,12-12-2024,C1999,P1428,8,3172.5,2704.54,UPI,E117,25380
INV10249,29-09-2024,C1182,P1283,3,3356.26,2931.85,Cash,E157,10068.78
INV10250,11-10-2024,C1257,P1418,7,4443.11,3963.91,UPI,E164,31101.77
INV10251,23-01-2025,C1095,P1027,2,749.63,536.44,Cash,E165,1499.26
INV10252,25-06-2025,C1713,P1835,8,462.69,347.31,Card,E149,3701.52
INV10253,19-02-2025,C1215,P1789,9,3165.84,2459.67,Card,E104,28492.56
INV10254,20-06-2025,C1225,P1876,4,1988.74,1443.01,Cash,E161,7954.96
INV10255,20-07-2025,C1242,P1906,9,2426.92,1979.02,UPI,E125,21842.28
INV10256,07-10-2024,C1346,P1397,5,4399.07,3467.34,Card,E182,21995.35
INV10257,08-02-2025,C1845,P1388,10,2171.94,1859.14,UPI,E198,21719.4
INV10258,04-05-2025,C1827,P1142,4,4644.57,3600.42,Cash,E164,18578.28
INV10259,23-05-2025,C1288,P1690,10,1909.64,1566.72,Cash,E115,19096.4
INV10260,14-02-2025,C1777,P1752,10,378.59,320.64,Card,E104,3785.9
INV10261,28-03-2025,C1091,P1186,3,309.03,255.75,Card,E167,927.09
INV10262,17-10-2024,C1553,P1439,7,1057.14,852.81,UPI,E110,7399.98
INV10263,13-09-2024,C1143,P1985,1,1276.68,1021.61,UPI,E169,1276.68
INV10264,06-01-2025,C1931,P1394,6,4336.19,3305.05,UPI,E117,26017.14
INV10265,19-04-2025,C1954,P1415,6,1458.68,1238.45,Card,E195,8752.08
INV10266,05-07-2025,C1765,P1432,7,4437.74,3727.03,Card,E124,31064.18
INV10267,08-05-2025,C1861,P1055,7,2261,1898.57,Card,E110,15827
INV10268,07-10-2024,C1010,P1258,4,737.22,526.55,UPI,E136,2948.88
INV10269,26-04-2025,C1364,P1493,1,4180.01,3663.18,Cash,E147,4180.01
INV10270,10-12-2024,C1456,P1880,7,2857.62,2160.87,Card,E197,20003.34
INV10271,28-01-2025,C1716,P1732,5,3488.16,2523.46,UPI,E122,17440.8
INV10272,18-10-2024,C1989,P1529,4,2601.2,2113.4,UPI,E183,10404.8
INV10273,09-08-2024,C1337,P1715,4,409.52,288.44,Cash,E142,1638.08
INV10274,25-10-2024,C1052,P1232,3,3583.63,3040.72,UPI,E102,10750.89
INV10275,09-06-2025,C1473,P1439,1,1057.14,852.81,Card,E141,1057.14
INV10276,04-09-2024,C1816,P1321,9,3802.09,3372.09,Card,E175,34218.81
INV10277,10-12-2024,C1987,P1661,4,137.17,101.19,Cash,E108,548.68
INV10278,16-08-2024,C1133,P1153,7,1925.9,1661.87,Card,E196,13481.3
INV10279,18-04-2025,C1276,P1382,1,3357.36,2974.91,Card,E163,3357.36
INV10280,07-08-2024,C1113,P1193,7,4909.21,3565.39,Cash,E139,34364.47
INV10281,12-10-2024,C1234,P1410,10,917.96,660.1,Card,E166,9179.6
INV10282,05-01-2025,C1580,P1621,1,4853.16,3581.85,Cash,E133,4853.16
INV10283,27-11-2024,C1825,P1980,8,1409.27,1224.32,UPI,E119,11274.16
INV10284,04-05-2025,C1782,P1773,6,1526.71,1095.24,Cash,E119,9160.26
INV10285,27-12-2024,C1977,P1000,4,2790.7,2466.91,UPI,E176,11162.8
INV10286,12-01-2025,C1659,P1522,3,704.37,560.08,Cash,E170,2113.11
INV10287,09-01-2025,C1410,P1602,10,1984.43,1780.19,UPI,E117,19844.3
INV10288,04-06-2025,C1749,P1780,4,3536.27,2915.37,Cash,E142,14145.08
INV10289,16-01-2025,C1140,P1758,2,4907.19,3691.64,Cash,E177,9814.38
INV10290,28-06-2025,C1793,P1685,10,1284.79,971.52,Card,E104,12847.9
INV10291,03-04-2025,C1279,P1787,1,2222.7,1594.9,Cash,E145,2222.7
INV10292,10-03-2025,C1717,P1086,2,3552.94,2561.98,Card,E101,7105.88
INV10293,07-05-2025,C1964,P1453,7,901.61,685.55,UPI,E191,6311.27
INV10294,18-03-2025,C1407,P1650,3,2466.26,2163.98,Card,E139,7398.78
INV10295,01-04-2025,C1436,P1064,6,2453.25,2033.3,Card,E196,14719.5
INV10296,29-03-2025,C1358,P1529,8,2601.2,2113.4,Cash,E137,20809.6
INV10297,12-01-2025,C1997,P1814,1,293.93,206.04,Card,E134,293.93
INV10298,13-12-2024,C1235,P1876,1,1988.74,1443.01,Card,E188,1988.74
INV10299,06-08-2024,C1061,P1964,2,4100.17,3685.23,UPI,E100,8200.34
INV10300,09-10-2024,C1474,P1628,4,3013.87,2686.02,Cash,E100,12055.48
INV10301,10-07-2025,C1728,P1906,10,2426.92,1979.02,Card,E150,24269.2
INV10302,12-04-2025,C1227,P1038,10,783.92,676.06,Card,E175,7839.2
INV10303,30-10-2024,C1187,P1383,4,381.5,333.94,Cash,E192,1526
INV10304,10-09-2024,C1092,P1347,6,1180.78,1062.64,Cash,E142,7084.68
INV10305,07-06-2025,C1124,P1748,4,2233,1812.56,Cash,E171,8932
INV10306,18-07-2025,C1336,P1518,9,4433.73,3616.15,Card,E171,39903.57
INV10307,08-02-2025,C1811,P1745,2,1216.87,902.53,Card,E199,2433.74
INV10308,12-05-2025,C1585,P1225,3,4558.3,3388.01,Cash,E145,13674.9
INV10309,05-05-2025,C1632,P1440,6,1191.52,879.7,Cash,E113,7149.12
INV10310,02-09-2024,C1703,P1535,10,683.4,557.01,Cash,E163,6834
INV10311,23-05-2025,C1467,P1171,4,1411.54,1179.5,Cash,E155,5646.16
INV10312,13-05-2025,C1069,P1738,5,2695.83,2149.18,Card,E185,13479.15
INV10313,29-06-2025,C1401,P1901,10,3323.62,2887.97,Card,E147,33236.2
INV10314,30-12-2024,C1440,P1844,10,435.94,372.95,UPI,E166,4359.4
INV10315,12-06-2025,C1666,P1236,4,3950.57,3490.9,Card,E109,15802.28
INV10316,07-10-2024,C1355,P1430,8,690.03,602.24,Card,E167,5520.24
INV10317,26-11-2024,C1709,P1289,8,2861.71,2407.94,Card,E115,22893.68
INV10318,31-08-2024,C1008,P1988,5,1397.19,1237.32,Card,E128,6985.95
INV10319,11-06-2025,C1684,P1445,3,3041.31,2714.45,Cash,E186,9123.93
INV10320,24-07-2024,C1284,P1662,9,4286.87,3067.52,UPI,E190,38581.83
INV10321,24-06-2025,C1047,P1211,10,3956.93,3345.87,Card,E120,39569.3
